,price
66,0.6823578355492003
111,0.32009059346717056
153,-0.815205662290623
96,-0.7390561443276493
38,-0.5298743359474325
24,-0.9055103402191753
139,-0.7975117123336498
112,0.4930981041575755
29,-0.022778836810177384
19,-0.896859964684655
178,0.4482734309332433
90,-0.7914826627186811
173,-0.5491410814561366
93,-0.7587160887242862
5,0.2768387157945693
167,-0.6145431631489487
56,-0.16944202200908884
128,3.1312005095942954
76,-1.0156060288403421
144,-0.5117871871025265
104,0.5322869266548718
177,-0.2476886007077038
75,0.44106478465447646
174,-0.3197750634953725
31,-0.8234628389372105
12,1.026537928786324
35,-0.7657936687070755
125,1.1638954069708274
42,-0.36604146597545806
156,-0.8125843363710714
136,0.6569309741295498
140,-0.7254252495459811
51,-0.9230732238801709
113,0.4662295134821717
166,-0.4718119668293647
41,-0.025269096433751394
124,-0.048992096005693285
78,-0.8478411699890402
119,-0.6790277807699179
26,-0.7246388517701156
137,0.7185321332390122
200,0.4858894578788086
117,0.6569309741295498
2,0.4406715857665437
77,-0.9107529920582784
46,-0.2739018599032197
122,-0.7246388517701156
127,2.738001621661557
85,-0.8058999552762148
138,-1.0511249950502661
36,-0.7657936687070755
114,0.5160347059536519
61,-0.3332748919810632
22,-0.8861125284144935
135,0.31091595274874
192,0.09269056994607015
33,-0.8661904514259015
11,0.496374761557015
199,0.7617840109116134
163,-0.6657900848761824
6,0.5992618038994149
27,-0.6002569368873927
126,2.5414021776951876
196,0.37317244333809024
141,-0.7879438727272865
4,0.5651845669452442
32,-1.0142953658805662
109,-0.09145757590242903
187,-0.47744781755640064
115,0.457710204243629
148,-0.6716880681951735
10,0.43149694504811315
62,-0.37914809557321605
118,-0.991620896676445
150,-1.0209797469754227
170,-0.25411084921060517
0,0.046817366353917325
184,-0.6740472615227698
183,-0.6766685874423215
70,2.419772655027994
203,1.2231373727526933
64,-0.24808179959563653
165,-0.5032678778639839
28,-0.5526798714475313
40,-0.37259478077433705
108,0.008152809040531376
123,-0.5526798714475313
23,-0.6790277807699179
155,-0.5714223517723251
189,-0.2022085960034837
81,-0.6079898483500699
39,-0.5626409099418274
172,0.5938880857643342
47,2.504965747413421
94,-0.7652694035231652
158,-0.6867606922325951
43,-0.832637479655641
142,-0.7028818466378374
3,0.10645253102371599
105,0.8599526665988205
53,-0.8444334462936233
133,-0.1268454758163755
185,-0.647834002327254
161,-0.6264701960829085
190,-0.4138806640072746
49,2.996464357329344
80,-0.4166330562228038
34,-0.7875506738393537
7,0.7578520220322861
110,0.09465656438573385
91,-0.8504624959085919
83,0.22690245702711154
181,0.3423718637833591
186,-0.6085141135339801
89,-1.0011887362828082
8,1.4072855186011926
13,1.0442318787432974
59,-0.5626409099418274
176,-0.2935618042998566
131,-0.42502129916536885
17,3.1118026977896136
72,2.872737773926509
180,0.3345078860247043
134,0.24931479363927764
171,-0.20823764561845237
198,0.6923188740434963
63,-0.3070616327855473
54,-0.7526870391093176
107,-0.16223337573032195
50,-1.0410328902599926
201,0.7742353090294836
169,-0.4127010673434764
58,0.3286099027057132
48,2.937484524139433
88,-0.5057581374875578
21,-0.991620896676445
57,0.06647731075055426
160,-0.7077312995890078
197,0.4426375802062074
37,-0.6871538911205278
157,-0.7785070994169008
193,-0.11111752029906596
1,0.4406715857665437
52,-0.8313268166958653
149,-0.18923303270170333
130,-0.5036610767519165
151,-0.8912241139576191
103,0.047341631537827646
99,-0.549010015160159
116,0.630717714934034
87,-0.5057581374875578
74,4.228487539518591
121,-0.8448266451815559
204,1.2434526486292181
20,-0.8601614018109328
188,-0.4119146695676109
71,2.7584479638340595
106,0.6895664818279672
14,1.4977212628257224
92,-0.8242492367130759
179,0.3748763051857988
102,0.1653012979176492
